iter	MultiClass
204	3.554128715
205	3.550878169
206	3.547677062
207	3.54453757
208	3.541583876
209	3.538720146
210	3.536507598
211	3.533456966
212	3.530317869
213	3.52715069
214	3.52422741
215	3.521500287
216	3.518661817
217	3.515619456
218	3.512531846
219	3.509684606
220	3.506832728
221	3.503742909
222	3.501185813
223	3.498201903
224	3.494964005
225	3.492168408
226	3.489070889
227	3.486158591
228	3.483078323
229	3.480183269
230	3.477054927
231	3.474389781
232	3.471210955
233	3.468068618
234	3.465215641
235	3.462251911
236	3.459582468
237	3.456977838
238	3.454147565
239	3.451571964
240	3.448770943
241	3.445926868
242	3.443136289
243	3.440343997
244	3.437537594
245	3.434869144
246	3.432683029
247	3.42990373
248	3.427160175
249	3.424537429
250	3.421736023
251	3.417971634
252	3.415152862
253	3.412149292
254	3.409370809
255	3.406681101
256	3.403881588
257	3.401175567
258	3.398682101
259	3.396173628
260	3.393400553
261	3.39069672
262	3.387957924
263	3.38531732
264	3.382785939
265	3.380102001
266	3.377125435
267	3.374484274
268	3.371914348
269	3.36929662
270	3.366243251
271	3.363671456
272	3.360928396
273	3.358631546
274	3.356059709
275	3.353181416
276	3.350665346
277	3.348021134
278	3.345538453
279	3.342845765
280	3.340269888
281	3.337231982
282	3.33475722
283	3.332032891
284	3.329491207
285	3.326903174
286	3.324417688
287	3.322371573
288	3.31981563
289	3.317307418
290	3.314815458
291	3.312280635
292	3.309361851
293	3.306783166
294	3.304077184
295	3.301789173
296	3.299327962
297	3.296820937
298	3.29405163
299	3.29166708
300	3.28920236
301	3.286565907
302	3.283590209
303	3.281069204
304	3.279106783
305	3.276695844
306	3.274506391
307	3.272083745
308	3.269526892
309	3.267184491
310	3.264865737
311	3.26231622
312	3.259898215
313	3.257547783
314	3.255270087
315	3.252851169
316	3.250629714
317	3.248197505
318	3.245624502
319	3.243040917
320	3.240682768
321	3.237931519
322	3.235443303
323	3.232772244
324	3.230337703
325	3.227620997
326	3.225251
327	3.22266269
328	3.22044017
329	3.218105997
330	3.215591344
331	3.213329947
332	3.211198152
333	3.208709628
334	3.206556772
335	3.204254395
336	3.201925541
337	3.199733715
338	3.197487253
339	3.195300777
340	3.192907194
341	3.190598335
342	3.188239374
343	3.185596397
344	3.183443134
345	3.181628834
346	3.178777004
347	3.176057738
348	3.173708462
349	3.171643161
350	3.169494536
351	3.167229393
352	3.164823273
353	3.162481374
354	3.160213085
355	3.157786412
356	3.155423494
357	3.153183457
358	3.15106403
359	3.148779382
360	3.146494826
361	3.144947764
362	3.142615354
363	3.140318264
364	3.13816473
365	3.135998963
366	3.133759791
367	3.131437725
368	3.1290791
369	3.126648923
370	3.124612297
371	3.121854226
372	3.11978947
373	3.117756476
374	3.11552158
375	3.113447411
376	3.111301991
377	3.109308679
378	3.107301855
379	3.105445644
380	3.102855636
381	3.100590897
382	3.098392118
383	3.096164296
384	3.093777184
385	3.091552553
386	3.089391252
387	3.087162966
388	3.085136892
389	3.082918491
390	3.080723042
391	3.078764158
392	3.076774147
393	3.074666696
394	3.072449513
395	3.070394927
396	3.068265062
397	3.066290182
398	3.064100022
399	3.06201301
400	3.05959117
401	3.057782121
402	3.055671616
403	3.053658759
404	3.051388863
405	3.049846884
406	3.047555826
407	3.045613308
408	3.043301092
409	3.041317214
410	3.03892499
411	3.036812993
412	3.034904796
413	3.033068965
414	3.031027516
415	3.028809037
416	3.026678069
417	3.024454084
418	3.022396578
419	3.020152524
420	3.017750473
421	3.0155076
422	3.013538156
423	3.011404963
424	3.009467202
425	3.007389818
426	3.005372537
427	3.003188819
428	3.001173166
429	2.998903197
430	2.996951876
431	2.994702414
432	2.992680862
433	2.990722308
434	2.988553641
435	2.986809051
436	2.985175601
437	2.983202022
438	2.981147822
439	2.978777189
440	2.976561854
441	2.974552519
442	2.972078609
443	2.970145761
444	2.968281407
445	2.966193452
446	2.963820374
447	2.961882865
448	2.960193058
449	2.958098509
450	2.956112456
451	2.95397364
452	2.951937119
453	2.950028434
454	2.948658609
455	2.94685163
456	2.944733795
457	2.942907097
458	2.940728792
459	2.938664073
460	2.936944325
461	2.935044613
462	2.933103408
463	2.931418186
464	2.929649887
465	2.927575768
466	2.925506
467	2.923484572
468	2.921972628
469	2.920287036
470	2.918273886
471	2.91640176
472	2.914540474
473	2.912627445
474	2.910976329
475	2.909114993
476	2.907070954
477	2.905141987
478	2.903317994
479	2.901430324
480	2.899757207
481	2.898461765
482	2.897014102
483	2.895275835
484	2.893442789
485	2.891630687
486	2.88948515
487	2.887723337
488	2.885743142
489	2.883479263
490	2.881935369
491	2.879916823
492	2.878153219
493	2.876266421
494	2.874229309
495	2.872260284
496	2.870413883
497	2.868546845
498	2.866639213
499	2.864613576
500	2.8628666
501	2.86108365
502	2.859372132
503	2.857605666
504	2.855887923
505	2.853767196
506	2.852007387
507	2.85022882
508	2.848375928
509	2.846685976
510	2.844746766
511	2.84265877
512	2.840918829
513	2.838972936
514	2.837060496
515	2.835251699
516	2.833507329
517	2.831952578
518	2.830207084
519	2.828726793
520	2.826846709
521	2.824915534
522	2.823333494
523	2.82138446
524	2.819750352
525	2.817894961
526	2.815883368
527	2.814075345
528	2.812147454
529	2.810604038
530	2.809006848
531	2.807191945
532	2.805486665
533	2.803716679
534	2.80239481
535	2.800612915
536	2.798947517
537	2.797135199
538	2.795371894
539	2.793497755
540	2.791676325
541	2.79003722
542	2.788204552
543	2.786421733
544	2.784772552
545	2.783384346
546	2.781441914
547	2.779803264
548	2.778158219
549	2.776660985
550	2.774819776
551	2.773212265
552	2.771582499
553	2.769681595
554	2.768010676
555	2.766042332
556	2.764205375
557	2.762486192
558	2.760518212
559	2.759042492
560	2.757557552
561	2.755615879
562	2.753990068
563	2.752562353
564	2.750890547
565	2.749142022
566	2.747281262
567	2.745355717
568	2.743983429
569	2.741981794
570	2.740394361
571	2.738690377
572	2.736913345
573	2.735354427
574	2.733439561
575	2.732036431
576	2.730890966
577	2.729257974
578	2.727662994
579	2.726021956
580	2.724239668
581	2.722192597
582	2.720512178
583	2.718619214
584	2.716884288
585	2.715099046
586	2.713523274
587	2.712304816
588	2.710635056
589	2.708903992
590	2.707253168
591	2.70574437
592	2.703881061
593	2.702109713
594	2.700398106
595	2.698765245
596	2.697137461
597	2.695564562
598	2.693869738
599	2.692490577
600	2.690700131
601	2.688799365
602	2.686930809
603	2.685293976
604	2.684003708
605	2.682274817
606	2.680390516
607	2.678782904
608	2.676993101
609	2.676061375
610	2.674390296
611	2.672901812
612	2.671187024
613	2.669611366
614	2.668285683
615	2.666545049
616	2.665167106
617	2.663547838
618	2.661838231
619	2.660090675
620	2.658419713
621	2.656871553
622	2.655008885
623	2.653196455
624	2.651270353
625	2.649661542
626	2.648053572
627	2.646450552
628	2.645083313
629	2.643399241
630	2.642136969
631	2.640611199
632	2.63930791
633	2.637663311
634	2.635908965
635	2.634315287
636	2.632852451
637	2.631386966
638	2.629859003
639	2.628228033
640	2.626621467
641	2.624825651
642	2.623436708
643	2.621985631
644	2.620333933
645	2.618706571
646	2.617162488
647	2.615559923
648	2.613916263
649	2.612206011
650	2.610523933
651	2.608769552
652	2.607079504
653	2.605597485
654	2.604173239
655	2.602835945
656	2.60114417
657	2.599681867
658	2.598417238
659	2.596856185
660	2.595751225
661	2.594189849
662	2.592699553
663	2.590928102
664	2.58934119
665	2.58790776
666	2.586457425
667	2.584919711
668	2.583336738
669	2.581831391
670	2.580398597
671	2.579150009
672	2.577529112
673	2.576341403
674	2.574967988
675	2.573301426
676	2.572023345
677	2.570596873
678	2.569058671
679	2.567412097
680	2.566072245
681	2.564909435
682	2.563200946
683	2.56164189
684	2.559973249
685	2.558594976
686	2.557397287
687	2.555973228
688	2.554589978
689	2.553051115
690	2.551307659
691	2.549844946
692	2.548178505
693	2.546551181
694	2.545140112
695	2.543703571
696	2.54221513
697	2.540905212
698	2.539390835
699	2.537884794
700	2.536533904
701	2.535347694
702	2.533573293
703	2.532505305
704	2.530814891
705	2.529345387
706	2.527728742
707	2.526260447
708	2.524837867
709	2.523181658
710	2.52158442
711	2.520175762
712	2.518782335
713	2.517442988
714	2.516263309
715	2.514812424
716	2.513480938
717	2.511989534
718	2.510544416
719	2.509339219
720	2.507748742
721	2.506188901
722	2.504661591
723	2.503123407
724	2.501608828
725	2.500048449
726	2.49843796
727	2.496966194
728	2.495889044
729	2.494544348
730	2.492901887
731	2.491148908
732	2.490134281
733	2.489163855
734	2.487741042
735	2.486417278
736	2.485076881
737	2.483542644
738	2.48219679
739	2.480710589
740	2.479312973
741	2.477806628
742	2.476237683
743	2.474905194
744	2.473547359
745	2.472464736
746	2.471140233
747	2.469685
748	2.468287684
749	2.46681754
750	2.465542251
751	2.464103658
752	2.462647762
753	2.461675606
754	2.460394728
755	2.459105958
756	2.457933966
757	2.456496428
758	2.454935156
759	2.453695315
760	2.452256213
761	2.450955525
762	2.449584723
763	2.448071005
764	2.446653043
765	2.445319696
766	2.443964706
767	2.442525058
768	2.441166068
769	2.439819831
770	2.438652587
771	2.437516876
772	2.436229348
773	2.434841202
774	2.433577734
775	2.432277539
776	2.430949428
777	2.429978611
778	2.428715318
779	2.42739162
780	2.42595884
781	2.424515924
782	2.423130724
783	2.421859029
784	2.420598373
785	2.419260313
786	2.417961725
787	2.41672465
788	2.415347614
789	2.413843756
790	2.412822086
791	2.411866072
792	2.410666483
793	2.409183125
794	2.407762827
795	2.406387246
796	2.40486285
797	2.403818483
798	2.402693847
799	2.40158044
800	2.400303229
801	2.399025865
802	2.39777375
803	2.396421198
804	2.395133574
805	2.393918538
806	2.392867699
807	2.391799674
808	2.390587692
809	2.389840054
810	2.388717786
811	2.38746915
812	2.386187797
813	2.385269176
814	2.384025368
815	2.383128899
816	2.381817122
817	2.380716586
818	2.379741495
819	2.378531685
820	2.377099894
821	2.375860906
822	2.374653243
823	2.373392034
824	2.37196948
825	2.37099417
826	2.369881696
827	2.368599715
828	2.367403013
829	2.366676046
830	2.365365955
831	2.363988036
832	2.362791525
833	2.361649031
834	2.360541705
835	2.359136819
836	2.357843338
837	2.356769065
838	2.355306542
839	2.354135335
840	2.353150327
841	2.352017794
842	2.350813812
843	2.349694347
844	2.348335849
845	2.347054331
846	2.345716561
847	2.344455947
848	2.343494462
849	2.342264655
850	2.341373208
851	2.340055783
852	2.338825751
853	2.337574975
854	2.336160375
855	2.335179017
856	2.334103091
857	2.332797136
858	2.331556279
859	2.330676556
860	2.329386796
861	2.328634132
862	2.327722009
863	2.326606308
864	2.325661463
865	2.32423249
866	2.323034844
867	2.32190763
868	2.320668476
869	2.319500992
870	2.318446812
871	2.317093325
872	2.315875829
873	2.314798992
874	2.31351254
875	2.312616447
876	2.31140859
877	2.310488087
878	2.309428094
879	2.30822518
880	2.307208149
881	2.306269424
882	2.305130647
883	2.304031973
884	2.30295897
885	2.301794912
886	2.300536479
887	2.299465106
888	2.29828763
889	2.297499689
890	2.296269533
891	2.295193664
892	2.293833657
893	2.292777909
894	2.291715314
895	2.290635281
896	2.289326603
897	2.288539393
898	2.287409263
899	2.286085532
900	2.284977122
901	2.283780922
902	2.28297086
903	2.282071665
904	2.280875052
905	2.280164311
906	2.278998583
907	2.278014872
908	2.276808988
909	2.275968326
910	2.274801584
911	2.273687906
912	2.272578646
913	2.271392404
914	2.270152422
915	2.269350671
916	2.268516
917	2.267379328
918	2.266484313
919	2.265513673
920	2.264593097
921	2.263432223
922	2.262431601
923	2.261374249
924	2.260576099
925	2.259601207
926	2.258422745
927	2.257151771
928	2.256138493
929	2.25508246
930	2.254280111
931	2.25326082
932	2.252240533
933	2.251878782
934	2.250718043
935	2.249609471
936	2.24847139
937	2.247664494
938	2.246391184
939	2.245266734
940	2.244266762
941	2.243159874
942	2.242175364
943	2.241054765
944	2.240056009
945	2.239035449
946	2.238155744
947	2.237254188
948	2.23601571
949	2.235201947
950	2.234134864
951	2.232867663
952	2.232106016
953	2.231198944
954	2.230158739
955	2.229403239
956	2.228378581
957	2.227554523
958	2.226462972
959	2.225508151
960	2.224564966
961	2.223386355
962	2.222486908
963	2.221652287
964	2.220694039
965	2.219655654
966	2.218509176
967	2.217433508
968	2.216360035
969	2.215305536
970	2.214352867
971	2.213203794
972	2.211999632
973	2.210896777
974	2.210229583
975	2.209450624
976	2.208537912
977	2.207702397
978	2.206615591
979	2.206171373
980	2.205435747
981	2.204513168
982	2.203875611
983	2.202968812
984	2.2018401
985	2.200975894
986	2.199926583
987	2.198938756
988	2.198014004
989	2.197151187
990	2.196097929
991	2.194987699
992	2.194082937
993	2.192819305
994	2.191738379
995	2.19073275
996	2.189811847
997	2.188874879
998	2.187581642
999	2.186831296
